date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:14	301/301	---M-Z	200	added ('OK')	text/plain	date:Sat,%2029%20Aug%202020%2007:58:29%20GMT	https://www.ptsdbenefits.com/robots.txt		(from )
12:58:14	167959/167959	---M-Z	200	added ('OK')	text/html	etag:W/%2274a857417be8cc708014984a0356a4d6%22	https://www.ptsdbenefits.com/	D:/JS/ptsdbenefit/www.ptsdbenefits.com/index.html	(from )
12:58:15	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Sat,%2029%20Aug%202020%2007:58:31%20GMT	http://static1.squarespace.com/static/5d7f98caa54e0e23a6eca287/t/5ef7a07175467b19acc42ebf/1593286771340/five-pointed-star-blackstar-small-star.jpg?format=1500w	D:/JS/ptsdbenefit/static1.squarespace.com/static/5d7f98caa54e0e23a6eca287/t/5ef7a07175467b19acc42ebf/1593286771340/five-pointed-star-blackstar-small-star.026f7.delayed	(from https://www.ptsdbenefits.com/)
12:58:17	139/139	---M-Z	200	added ('OK')	text/javascript	etag:%220ed5430939108184d0aa6380c0c7d172%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-4462869f33015f1b14d8b-min.en-US.js	D:/JS/ptsdbenefit/assets.squarespace.com/universal/scripts-compressed/common-vendors-4462869f33015f1b14d8b-min.en-US.js	(from https://www.ptsdbenefits.com/)
12:58:18	16655/16655	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2029%20Aug%202020%2007:58:34%20GMT	http://use.typekit.net/ik/sQByLlzDAcVxIg4_Qw7TZtnwPHldXKO9a7e-2o_QShbfelt2fFHN4UJLFRbh52jhWDmqFhjo5eFyjQ9XZQg8wRFyFcmRjQJtFU7WMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0j14zjhFzdeql-emkdhtlZcs8wkoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8Oe4kdhFRdhUTOAy8ScN0OAZqZQw0SaBujW48Sagyjh90jhNlOeUzjhBC-eNDifU3iYFqjcm0ZAZTiYw0jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaOc4kdhFRdhUTOAy8ScN0OAZqZQw0SaBujW48Sagyjh90jhNlOYiaiko3iYFqjcm0ZAZTiYw0jhNlOYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlJ6Tyjaml-AtlSY4zH6GJDwCgIMMjgPMfqMep7odhgb.js	D:/JS/ptsdbenefit/use.typekit.net/ik/sQByLlzDAcVxIg4_Qw7TZtnwPHldXKO9a7e-2o_QShbfelt2fFHN4UJLFRbh52jhWDmqFhjo5eFyjQ9XZQg8wRFyFcmRjQJtFU7WMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0j14zjhFzdeql-emkdhtlZcs	(from https://www.ptsdbenefits.com/)
12:58:21	47245/47245	---M--	200	added ('OK')	image/jpeg	etag:CJDvmb6muusCEAE=	https://images.squarespace-cdn.com/content/5d7f98caa54e0e23a6eca287/1593286769210-MO7104P3MTQH18XMZ6AU/five-pointed-star-blackstar-small-star.jpg?content-type=image%2Fjpeg	D:/JS/ptsdbenefit/images.squarespace-cdn.com/content/5d7f98caa54e0e23a6eca287/1593286769210-MO7104P3MTQH18XMZ6AU/five-pointed-star-blackstar-small-staree8a.jpg	(from https://www.ptsdbenefits.com/)
12:58:24	638694/638694	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Aug%202020%2007:58:36%20GMT	http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false	D:/JS/ptsdbenefit/static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site8696.css	(from https://www.ptsdbenefits.com/)
12:58:28	195012/195012	---M-Z	200	added ('OK')	text/javascript	etag:%226fd574426f94f76ce59e552b5470eb60%22	http://assets.squarespace.com/universal/scripts-compressed/performance-37ce7cccb2f060b78289f-min.en-US.js	D:/JS/ptsdbenefit/assets.squarespace.com/universal/scripts-compressed/performance-37ce7cccb2f060b78289f-min.en-US.js	(from https://www.ptsdbenefits.com/)
12:58:30	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	https://www.google-analytics.com/analytics.js	D:/JS/ptsdbenefit/www.google-analytics.com/analytics.js	(from https://www.ptsdbenefits.com/)
12:58:37	47590/47590	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2007:58:42%20GMT	https://www.ptsdbenefits.com/cart	D:/JS/ptsdbenefit/www.ptsdbenefits.com/cart.html	(from https://www.ptsdbenefits.com/)
